Ingredient,Price,Quantity,Unit Price,Unit,Url
Pam Original Pure Canola Oil No Stick Cooking Spray,6.79,per pack,3.99,100ml,https://www.instacart.ca/store/adonis/products/17877304
Aurora Basso Cold Extracted Organic Extra Virgin Olive Oil,21.99,per pack,2.2,100ml,https://www.instacart.ca/store/adonis/products/18498345
Maille Balsamic Vinegar,11.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/17881436
Cedar's Pure White Vinegar,1.89,per pack,0.19,100ml,https://www.instacart.ca/store/adonis/products/27568999
Kikkoman Seasoned Rice Vinegar,4.29,per pack,1.45,100ml,https://www.instacart.ca/store/adonis/products/19047528
French's Tomato Ketchup,3.99,per pack,0.4,100ml,https://www.instacart.ca/store/adonis/products/17876337
Lesieur Fresh Egg Yolk Mayonnaise,6.79,per pack,0.91,100ml,https://www.instacart.ca/store/adonis/products/27947350
French's Stone Ground Dijon Mustard,2.99,per pack,0.92,100ml,https://www.instacart.ca/store/adonis/products/18605195
Kikkoman Soy Sauce,6.99,per pack,2.36,100ml,https://www.instacart.ca/store/adonis/products/36411
Frank's Red Hot Sweet Chili Sauce,4.29,per pack,1.21,100ml,https://www.instacart.ca/store/adonis/products/17959618
Frank's Cp Redhot Buffalo Wing,-1,-1,null,null,https://www.instacart.ca/store/adonis/products/17882979
Club House Organic Cayenne Pepper,2.79,per pack,8.45,100g,https://www.instacart.ca/store/adonis/products/17818015
Club House Organic Ground Cumin,2.79,per pack,6.98,100g,https://www.instacart.ca/store/adonis/products/17886592
Club House Organic Ground Coriander Powder,2.79,per pack,9.96,100g,https://www.instacart.ca/store/adonis/products/17886621
Club House Family Size Oregano Leaves,6.99,per pack,21.18,100g,https://www.instacart.ca/store/adonis/products/17886276
Club House Organic Paprika,2.79,per pack,6.98,100g,https://www.instacart.ca/store/adonis/products/17877645
Club House Organic Rosemary Leaves,2.79,per pack,19.93,100g,https://www.instacart.ca/store/adonis/products/17879120
Club House Organic Thyme Leaves,2.79,per pack,13.95,100g,https://www.instacart.ca/store/adonis/products/17881315
Village Cinnamon Quill Spice,6.99,per pack,6.99,100g,https://www.instacart.ca/store/adonis/products/27951180
Dion Whole Cloves,3.79,per pack,14.04,100g,https://www.instacart.ca/store/adonis/products/237344
Club House All Spice Ground Tin,4.99,per pack,14.26,100g,https://www.instacart.ca/store/adonis/products/17874011
Club House Organic Ground Ginger,-1,-1,null,null,https://www.instacart.ca/store/adonis/products/17971429
Club House Ground Nutmeg,4.29,per pack,11.0,100g,https://www.instacart.ca/store/adonis/products/17972287
Club House Family Size Chili Powder,6.99,per pack,5.07,100g,https://www.instacart.ca/store/adonis/products/17874019
Club House Organic Curry Powder,2.79,per pack,6.98,100g,https://www.instacart.ca/store/adonis/products/19029973
McCormick Canada Club House Artificial Vanilla Extract,2.99,per pack,6.95,100ml,https://www.instacart.ca/store/adonis/products/17971612
Bioitalia Organic Black Beans,3.0,per pack,0.75,100g,https://www.instacart.ca/store/adonis/products/260792
Adonis Spices Chick Peas,199.0,per pack,null,null,https://www.instacart.ca/store/adonis/products/27958011
Red Pepper Stuffed Green Olives,19.9,kg,0.02,g,https://www.instacart.ca/store/adonis/products/27948218
PB&Me Sugar Free Powdered Peanut Butter,7.49,per pack,3.75,100g,https://www.instacart.ca/store/adonis/products/18554881
Unico Diced Tomatoes,2.59,per pack,0.33,100ml,https://www.instacart.ca/store/adonis/products/17819834
Unico Tomato Paste,1.29,per pack,0.83,100ml,https://www.instacart.ca/store/adonis/products/17974492
Frank's Chili & LIme RedHot Sauce,-1,-1,null,null,https://www.instacart.ca/store/adonis/products/17872953
CLOVER LEAF Tuna White Chunk In Water,4.59,per pack,2.7,100g,https://www.instacart.ca/store/adonis/products/17883487
Bob's Red Mill Organic Farro,10.99,per pack,1.62,100g,https://www.instacart.ca/store/adonis/products/25456201
Barilla Rotini Pasta,1.5,per pack,0.37,100g,https://www.instacart.ca/store/adonis/products/25578749
Tilda Basmati Rice Bag,13.99,per pack,0.77,100g,https://www.instacart.ca/store/adonis/products/285396
Bob's Red Mill Baking Powder Gluten Free,5.49,per pack,1.38,100g,https://www.instacart.ca/store/adonis/products/19823948
Bob's Red Mill Baking Soda Gluten Free,4.79,per pack,1.06,100g,https://www.instacart.ca/store/adonis/products/19404929
Redpath Dark Brown Sugar,3.79,per pack,0.38,100g,https://www.instacart.ca/store/adonis/products/19127046
Bob's Red Mill Arrowroot Starch,9.99,per pack,2.2,100g,https://www.instacart.ca/store/adonis/products/19401376
Bob's Red Mill Bob's Gluten Free All-Purpose Flour,7.29,per pack,1.17,100g,https://www.instacart.ca/store/adonis/products/19403799
Native Organic Demerara Cane Sugar,6.49,per pack,0.65,100g,https://www.instacart.ca/store/adonis/products/295758
